Alpha,q,delta_e,Output1,Output2,Output3
0.660769203,-0.303933627,0.717772534,1.8247347,1.6841345,-1.5656478
0.600531076,-0.378513452,0.701166695,1.7049941,1.5395064,-1.4418463
0.537289414,-0.448715214,0.6959416,1.5897601,1.3961426,-1.3253801
0.471478586,-0.514333427,0.688927053,1.4693449,1.2492104,-1.2065961
0.403537926,-0.57512121,0.679335761,1.3438735,1.0992543,-1.0855421
0.333883611,-0.631145677,0.666237194,1.2132875,0.94659144,-0.9619708
0.26287588,-0.682815492,0.658363752,1.0850483,0.7954814,-0.8429487
0.190838592,-0.730479915,0.655786976,0.95971054,0.6463974,-0.72875947
0.118086281,-0.774200179,0.656645901,0.8363126,0.4990746,-0.61830693
0.044962005,-0.813601598,0.654856478,0.71064174,0.35164642,-0.5074443
-0.028211581,-0.848787292,0.64440626,0.57846045,0.20205122,-0.39182147
-0.1011406,-0.879798154,0.643547364,0.454692,0.05868972,-0.28604075
-0.173550179,-0.906951989,0.632166619,0.32383978,-0.086765334,-0.17457102
-0.24523275,-0.930697826,0.637391743,0.20766786,-0.22239253,-0.07864243
-0.315980192,-0.951262344,0.635673892,0.08786013,-0.358088,0.01999794
-0.385617031,-0.968805786,0.64440626,-0.021546565,-0.4860815,0.10762322
-0.453890352,-0.982592889,0.64440626,-0.13524258,-0.61392176,0.19854829
-0.520525152,-0.992203344,0.630448798,-0.25686818,-0.7432081,0.29631025
-0.585305416,-0.998009705,0.615560809,-0.3757964,-0.8680694,0.3906478
-0.648022667,-1.0,0.607687367,-0.48539585,-0.98469263,0.47509056
-0.708343595,-0.996845646,0.588504751,-0.599485,-1.0998765,0.5628925
-0.765806806,-0.986906449,0.540405142,-0.73107386,-1.2197571,0.66643703
-0.819717418,-0.966974591,0.471405066,-0.87235254,-1.3383565,0.7770316
-0.868911458,-0.931388898,0.32982607,-1.0617325,-1.4736905,0.93084097
-0.911811701,-0.874195549,0.098274989,-1.3097842,-1.6280988,1.1365904
-0.946846735,-0.793814155,-0.218023052,-1.6096287,-1.795881,1.3874854
-0.973068049,-0.695448993,-0.510700736,-1.8744717,-1.9305482,1.6002432
-0.990316605,-0.587941618,-0.706391818,-2.0468829,-2.0035942,1.721683
-0.999044992,-0.47948765,-0.778040212,-2.1070209,-2.0073717,1.735243
-1.0,-0.375346701,-0.765800571,-2.0884202,-1.9626548,1.6757946
