a,q,delta e,cd
0.084868381,1.17919914,-0.15,0.023336966
0.085439729,1.181228386,-0.15,0.023441294
0.086011902,1.183250736,-0.15,0.023545773
0.086584895,1.18526619,-0.15,0.023650402
0.087158699,1.187274746,-0.15,0.023755178
0.087733307,1.189276403,-0.15,0.023860102
0.088308713,1.191271158,-0.15,0.023965171
0.088884909,1.193259011,-0.15,0.024070384
0.089461889,1.195239961,-0.15,0.024175741
0.090039644,1.197214007,-0.15,0.024281239
0.090618169,1.199181147,-0.15,0.024386878
0.091197456,1.20114138,-0.15,0.024492656
0.091777499,1.203094705,-0.15,0.024598571
0.092358289,1.205041122,-0.15,0.024704624
0.092939821,1.206980629,-0.15,0.024810811
0.093522087,1.208913227,-0.15,0.024917133
0.09410508,1.210838913,-0.15,0.025023588
0.094688793,1.212757688,-0.15,0.025130174
0.09527322,1.21466955,-0.15,0.02523689
0.095858353,1.2165745,-0.15,0.025343735
0.096444186,1.218472537,-0.15,0.025450708
0.097030712,1.22036366,-0.15,0.025557808
0.097617923,1.22224787,-0.15,0.025665033
0.098205814,1.224125165,-0.15,0.025772382
0.098794376,1.225995546,-0.15,0.025879853
0.099383604,1.227859012,-0.15,0.025987446
0.09997349,1.229715564,-0.15,0.026095159
0.100564028,1.231565201,-0.15,0.026202991
0.10115521,1.233407924,-0.15,0.026310941
0.10174703,1.235243733,-0.15,0.026419008
0.102339482,1.237072627,-0.15,0.026527189
0.102932558,1.238894607,-0.15,0.026635485
0.103526252,1.240709673,-0.15,0.026743894
0.104120556,1.242517826,-0.15,0.026852414
0.104715465,1.244319066,-0.15,0.026961044
0.105310972,1.246113393,-0.15,0.027069783
0.105907069,1.247900809,-0.15,0.027178631
0.10650375,1.249681313,-0.15,0.027287585
0.107101009,1.251454906,-0.15,0.027396644
0.107698838,1.25322159,-0.15,0.027505808
0.108297232,1.254981364,-0.15,0.027615075
0.108896183,1.25673423,-0.15,0.027724443
0.109495685,1.258480188,-0.15,0.027833912
0.110095731,1.26021924,-0.15,0.02794348
0.110696315,1.261951386,-0.15,0.028053147
0.111297429,1.263676628,-0.15,0.028162911
0.111899069,1.265394967,-0.15,0.02827277
0.112501226,1.267106403,-0.15,0.028382724
0.113103895,1.268810939,-0.15,0.028492771
0.113707068,1.270508575,-0.15,0.028602911
0.11431074,1.272199313,-0.15,0.028713141
0.114914904,1.273883154,-0.15,0.028823461
0.115519553,1.2755601,-0.15,0.02893387
0.116124681,1.277230152,-0.15,0.029044367
0.116730281,1.278893313,-0.15,0.029154949
0.117336347,1.280549582,-0.15,0.029265617
0.117942873,1.282198963,-0.15,0.029376369
0.118549852,1.283841457,-0.15,0.029487203
0.119157277,1.285477066,-0.15,0.029598119
0.119765143,1.287105792,-0.15,0.029709115
0.120373443,1.288727636,-0.15,0.029820191
0.12098217,1.290342601,-0.15,0.029931344
0.121591319,1.291950689,-0.15,0.030042575
0.122200882,1.293551902,-0.15,0.030153881
0.122810854,1.295146241,-0.15,0.030265262
0.123421228,1.29673371,-0.15,0.030376716
0.124031998,1.298314311,-0.15,0.030488243
0.124643157,1.299888045,-0.15,0.030599841
0.1252547,1.301454916,-0.15,0.030711508
0.12586662,1.303014926,-0.15,0.030823245
0.126478911,1.304568076,-0.15,0.030935049
0.127091566,1.306114371,-0.15,0.03104692
0.12770458,1.307653812,-0.15,0.031158856
0.128317946,1.309186402,-0.15,0.031270857
0.128931658,1.310712143,-0.15,0.031382921
0.129545709,1.31223104,-0.15,0.031495047
0.130160095,1.313743094,-0.15,0.031607233
0.130774807,1.315248308,-0.15,0.03171948
0.131389842,1.316746685,-0.15,0.031831785
0.132005191,1.318238228,-0.15,0.031944148
0.13262085,1.319722941,-0.15,0.032056567
0.133236811,1.321200826,-0.15,0.032169042
0.13385307,1.322671887,-0.15,0.032281571
0.13446962,1.324136126,-0.15,0.032394153
0.135086454,1.325593547,-0.15,0.032506786
0.135703567,1.327044153,-0.15,0.032619471
0.136320953,1.328487949,-0.15,0.032732206
0.136938606,1.329924936,-0.15,0.032844989
0.13755652,1.331355118,-0.15,0.032957821
0.138174688,1.3327785,-0.15,0.033070698
0.138793106,1.334195084,-0.15,0.033183621
0.139411766,1.335604874,-0.15,0.033296588
0.140030663,1.337007874,-0.15,0.033409599
0.140649791,1.338404088,-0.15,0.033522652
0.141269145,1.339793519,-0.15,0.033635746
0.141888717,1.341176171,-0.15,0.03374888
0.142508503,1.342552049,-0.15,0.033862053
0.143128497,1.343921155,-0.15,0.033975264
0.143748692,1.345283494,-0.15,0.034088511
0.144369083,1.34663907,-0.15,0.034201795
0.144989664,1.347987887,-0.15,0.034315113
0.145610429,1.349329949,-0.15,0.034428464
0.146231373,1.350665261,-0.15,0.034541849
0.146852489,1.351993826,-0.15,0.034655265
